aah	a cry of delight
syndrome	a group of related symptoms
synecdoche	using a part for the whole
synergistic	working together for greater effect
synergy	combined effort producing greater results
synesthesia	senses blending unusually together
synod	a church governing council
synonym	a same-meaning word
synonymous	meaning almost the same thing
synonymously	meaning almost the same thing
synonymy	sameness of meaning between words
synopsis	a short summary
synoptic	giving a general overview
synovial	relating to joint lubricating fluid
syntactic	relating to sentence structure
syntactical	relating to sentence structure
syntactically	in terms of sentence structure
syntax	the structure of a sentence
synthesis	combining parts into a whole
synthesise	to combine into something new
synthesize	to combine into something new
synthesizer	an electronic music instrument
synthetic	made artificially, not natural
synthetically	in an artificial manufactured way
syphilis	a sexually transmitted disease
syphon	a tube for moving liquid
syringe	a tool for injecting liquid
syrup	a thick sweet liquid
syrupy	thick and overly sweet
systematic	done in an organized method
systematically	in an organized methodical way
systematics	the classification of living things
systemic	affecting an entire system
systolic	relating to the heart's contraction
tab	a small flap or label
tabard	a short sleeveless coat
tabasco	a spicy pepper sauce
tabby	having striped or mottled fur
tabernacle	a place of worship
tabi	a Japanese split-toe sock
tablature	musical notation for stringed instruments
tableau	a striking still scene
tablecloth	a cloth covering a table
tablespoon	a large cooking spoon
tablet	a flat handheld computer
tabletop	a table's flat surface
tableware	dishes and utensils for eating
tabloid	a small sensational newspaper
taboo	forbidden by social custom
tabor	a small drum
tabu	forbidden by social custom
tabular	arranged in a table format
tabulation	arranging data into a table
tach	a device measuring engine speed
tachometer	a device measuring engine speed
tachycardia	an abnormally fast heartbeat
tacit	understood without being said
tacitly	without being openly stated
taciturn	quiet and reserved in speech
tack	a short sharp nail
tacking	fastening loosely with small stitches
tackle	equipment used for a task
tackler	a person who tackles
tacky	cheap and in poor taste
taco	a folded filled tortilla
tact	skill in handling sensitive situations
tactful	careful not to offend others
tactfully	in a considerate careful way
tactic	a planned method
tactical	relating to a planned method
tactically	in a carefully planned way
tactician	a strategy planner
tactics	planned methods to achieve goals
tactile	relating to touch
tactless	careless about others' feelings
tad	a small amount
tadpole	a young legless frog
taekwondo	a Korean martial art
taffeta	a stiff shiny fabric
taffy	a chewy sugar candy
tagged	labeled or marked
tagger	one who marks with tags
tahini	a sesame seed paste
taichi	a slow Chinese exercise practice
tailback	a traffic jam of cars
tailed	having a tail
tailgate	a vehicle's back door
tailing	following closely behind
taillight	a rear vehicle light
tailor	a fitted-clothes maker
tailored	adjusted to fit exactly
tailoring	the making of fitted clothes
tailpipe	a vehicle's exhaust pipe
tails	a coin's reverse side
tailspin	an out-of-control spiral
tailwind	a wind blowing from behind
taint	a trace of contamination
tainted	spoiled or contaminated
taka	the currency of Bangladesh
takeaway	food bought to eat elsewhere
takedown	a forceful bringing down
takeoff	the start of a flight
takeout	food bought to eat elsewhere
takeover	gaining control of a company
taker	one who accepts an offer
takin	a large goat-like mammal
takings	money earned from sales
tala	an indian music rhythm
talc	a soft powdery mineral
talcum	a soft soothing body powder
tale	a story
talentless	lacking any skill or ability
talisman	a luck-bringing object
talkative	fond of talking a lot
talker	a person who talks
talkie	an early sound motion picture
talky	full of too much talking
tallis	a Jewish prayer shawl
tallow	hard animal fat
tally	a running count of something
talon	a sharp curved claw
talus	the ankle bone
tam	a soft flat round cap
tamale	a wrapped steamed corn dish
tamarack	a type of larch tree
tamarind	a sour tropical fruit
tambourine	a small drum with jingles
tame	gentle and not wild
tamed	made gentle and controllable
tamer	one who controls wild animals
tammy	a soft flat woolen cap
tamoxifen	a breast cancer treatment drug
tamp	a light packing motion
tamper	a pressing-down tool
tampering	interfering with something improperly
tampon	an absorbent hygiene product
tan	light brown from the sun
tandem	working together in pairs
tang	a sharp strong flavor
tanga	a small skimpy swimsuit
tangent	a curve-touching line
tangential	only slightly related
tangentially	loosely, only related
tangerine	a bright orange color
tangible	able to be touched
tangibly	in a perceivable way
tangle	a confused knotted mass
tangled	twisted into a confused knot
tango	a passionate ballroom dance
tangy	having a sharp tart flavor
tanka	a short Japanese poem form
tankard	a large drinking mug
tanker	a liquid-cargo ship
tanned	made brown by the sun
tanner	one who processes hides
tannery	a hide-processing place
tannic	relating to a bitter compound
tannin	a bitter plant compound
tanning	the process of darkening skin
tannoy	a public address system
tansy	a yellow flowering herb
tantalising	tempting and hard to resist
tantalizing	tempting and hard to resist
tantalizingly	in a hard-to-resist way
tantalum	a hard gray metallic element
tantamount	equivalent in effect to something
tantra	a mystical spiritual practice
tantrum	a childish anger outburst
taoiseach	the prime minister of Ireland
tap	a device controlling water flow
tapa	a cloth made from bark
taped	recorded or fastened with tape
taper	a gradual narrowing
tapered	gradually narrowing at one end
tapering	gradually becoming narrower
tapestry	a woven decorative wall hanging
tapeworm	a long flat parasitic worm
taping	recording or fastening with tape
tapioca	a starch from cassava root
tapir	a large piglike mammal
tapped	lightly struck or accessed
tapper	a person or thing that taps
tapping	striking lightly and repeatedly
taproom	a beer-serving room
taps	a military bugle call
tar	a thick black sticky substance
tarantula	a large hairy spider
tardiness	the habit of being late
tardy	arriving later than expected
tare	the weight of empty packaging
tariff	a tax on imported goods
tarmac	a paved road surface
tarn	a small mountain lake
tarnish	a dull discolored coating
taro	a starchy tropical root vegetable
tarot	fortune-telling cards
tarp	a waterproof protective sheet
tarpaulin	a waterproof protective sheet
tarpon	a large silvery game fish
tarragon	an aromatic cooking herb
tarry	sticky like tar
tarsal	relating to the ankle bones
tarsus	the ankle bone
tart	sharp and sour tasting
tartan	a plaid woven pattern
tartar	a hard deposit on teeth
tartrate	a chemical salt compound
taskmaster	a demanding work overseer
tassel	a hanging bunch of threads
tasteful	showing good sense of style
tastefully	with good style
tasteless	lacking good style or flavor
taster	a person who samples food
tasting	sampling food or drink
tasty	pleasant to eat
tat	cheap tacky items
tater	a potato
tatted	made using a lace-making technique
tattered	torn and ragged
tattle	gossip or telling on someone
tattoo	permanent ink art on skin
tatty	worn out and shabby
tau	a Greek letter
taunt	a mocking insulting remark
